Original Size;After White Spaces;After Numbers;After URLs;After Punctuation;After Javascript;After HTML
1141;1075;1060;1019;876;876;806
32826;32370;32350;32350;32299;32299;32101
965;923;908;875;850;850;757
8553;8181;8142;8142;7943;7943;6754
2856;2667;2573;2573;2446;2446;2313
8320;7073;6964;6964;6322;6322;6206
9608;8374;8302;8283;8181;8181;8131
8553;8181;8142;8142;7943;7943;6754
2228;2140;2122;2064;1910;1910;1860
14977;14318;14096;14096;13777;13777;13727
5353;5050;5019;5019;4893;4893;4843
12761;11863;11842;11812;11691;11691;3201
8553;8181;8142;8142;7943;7943;6754
1507;1448;1433;1371;1341;1341;1254
2653;2157;2132;2132;2091;2091;2041
2119;1982;1956;1956;1916;1916;1866
7495;7146;7074;7074;6168;6168;6118
3000;2901;2878;2878;2767;2767;2695
1400;1348;1316;1316;1290;1290;1197
4063;3227;3201;3201;3099;3099;3049
1274;1156;1118;1118;1095;1095;1014
5879;5213;5163;5118;5089;5089;1853
1536;1368;1335;1335;1233;1233;1183
32885;32429;32410;32410;32359;32359;32161
4956;4713;4664;4664;3859;3859;3809
5879;5213;5163;5118;5089;5089;1853
950;910;896;867;842;842;749
2472;2394;2374;2329;2287;2287;1659
4425;4118;4095;4095;3714;3714;3664
1160;1078;1063;1033;1013;1013;962
8542;8167;8128;8128;7929;7929;6739
14982;14319;14097;14097;13778;13778;13727
23430;18485;18347;18347;17196;17196;17121
3839;3269;3218;3218;2997;2997;2946
11210;9724;9673;9619;9542;9542;3109
2323;2184;2148;2098;2067;2067;2016
1433;1367;1352;1302;1279;1279;1206
3475;3272;3256;2416;2402;2402;830
9250;8957;8868;8868;8685;8685;8642
4146;3990;3946;3713;3503;3503;1913
1775;1698;1668;1668;1628;1628;1576
16713;16153;16066;16035;15622;15622;14131
4122;3967;3923;3721;3511;3511;1918
4120;3965;3921;3719;3509;3509;1916
3071;2975;2951;2429;1973;1973;1900
1212;1147;1118;1092;1081;1081;1033
3008;2899;2875;2802;2192;2192;2118
891;844;821;737;726;726;684
23673;23198;23065;22896;22533;22533;22481
3823;3257;3208;3208;2987;2987;2937
1343;1259;1239;1148;1112;1112;1062
20013;19003;18973;18870;18671;18671;4729
1367;1302;1287;1171;1150;1150;1083
4948;4520;4499;4357;4333;4333;1523
7095;6926;6861;6671;6576;6576;6089
7112;6944;6879;6681;6586;6586;6096
1285;1230;1212;1098;1080;1080;922
1376;1149;1126;1126;1100;1100;1050
3595;3413;3398;3006;2784;2784;2711
2559;1890;1844;1844;1813;1813;1742
13063;10992;10899;10662;10590;10590;4285
4876;3856;3814;3814;3605;3605;3555
2528;2434;2411;2192;2109;2109;2058
1507;1449;1423;1379;1340;1340;948
2013;1936;1920;1877;1827;1827;1514
396;372;357;325;314;314;263
2083;2003;1979;1915;1870;1870;1798
1767;1665;1638;1610;1583;1583;1532
2222;2031;1986;1986;1594;1594;1543
1128;1077;1063;907;882;882;831
2730;2607;2593;2467;2428;2428;2377
2218;2031;1986;1986;1594;1594;1543
1857;1781;1756;1672;1632;1632;1581
2588;2476;2447;2447;2185;2185;2134
6119;5968;5903;5713;5624;5624;5137
2510;2377;2322;2322;1932;1932;1892
7112;6944;6879;6681;6586;6586;6096
2322;2235;2202;2138;2096;2096;2052
5011;4769;4720;4720;3918;3918;3867
12780;11667;11634;11512;11453;11453;5160
1572;1295;1265;1225;1183;1183;1132
1755;1663;1645;1645;1619;1619;1568
22779;22140;21914;21851;21587;21587;18825
2655;2563;2511;2271;2218;2218;1327
1950;1889;1856;1856;1825;1825;1797
3897;3791;3721;3589;3547;3547;3505
3392;2130;2066;2066;2032;2032;1981
1248;1177;1158;1140;1068;1068;973
1052;893;857;857;761;761;710
7985;7638;7605;7605;7406;7406;6845
8613;8245;8179;8179;7938;7938;7330
1603;1506;1478;1372;1340;1340;1291
1375;1287;1267;1161;1122;1122;1071
1374;1286;1266;1160;1121;1121;1071
1438;1380;1361;1239;1215;1215;1165
1654;1538;1506;1506;1475;1475;1398
1553;1468;1448;1448;1422;1422;1371
9400;9111;9065;9011;8892;8892;7668
6043;4922;4855;4617;4041;4041;3990
1578;1515;1491;1491;1386;1386;1335
400;372;353;325;312;312;245
642;614;600;545;526;526;454
593;467;445;405;391;391;340
1886;1817;1766;1724;1674;1674;1233
1886;1817;1766;1724;1675;1675;1240
602;481;460;420;405;405;354
664;571;558;526;512;512;461
1428;1351;1331;1209;1188;1188;1137
6335;6097;6053;6000;5872;5872;4929
4900;4478;4457;4360;4335;4335;1525
2340;2215;2182;2116;2064;2064;2013
670;621;600;489;478;478;325
4440;4247;4178;4154;4046;4046;3995
2417;2194;2067;2067;2000;2000;1876
5889;5081;5051;5051;4918;4918;4844
2799;2740;2708;2607;2576;2576;2440
663;570;557;525;511;511;461
7662;7447;7384;7159;7093;7093;5272
663;570;557;525;511;511;461
1184;1104;1081;1081;1058;1058;1007
1597;1442;1417;1417;1388;1388;1337
1063;953;917;917;788;788;737
32870;32414;32394;32394;32343;32343;32141
1067;953;917;917;788;788;737
1724;1667;1635;1507;1475;1475;1424
24344;21651;21448;21036;20935;20935;9264
10086;9761;9638;9638;9510;9510;9460
2330;2197;2155;2155;2011;2011;1863
15632;14835;14609;14588;14164;14164;14113
4338;3795;3772;3772;3655;3655;3580
15630;14831;14605;14584;14159;14159;14109
32858;32402;32382;32382;32331;32331;32133
2216;2124;2098;2098;2070;2070;2020
2667;2555;2463;2463;2416;2416;2286
5059;3924;3896;3015;2986;2986;1499
1766;1689;1658;1658;1620;1620;1578
2877;2763;2728;2637;2582;2582;2544
7586;7401;7307;7307;7080;7080;6990
3719;3599;3534;3534;3480;3480;3387
6473;6105;6071;6071;5031;5031;4981
1953;1817;1756;1756;1694;1694;1562
1425;1302;1267;1267;1242;1242;1168
32878;32422;32402;32402;32351;32351;32153
1074;1014;999;999;969;969;899
2063;1990;1965;1903;1859;1859;1788
547;489;468;468;456;456;406
1379;1151;1128;1128;1099;1099;1049
2067;1994;1969;1907;1862;1862;1791
16546;16240;16220;16220;15983;15983;2785
4924;4502;4481;4366;4342;4342;1533
2153;2081;2056;1986;1933;1933;1807
1290;1214;1188;1188;1170;1170;1120
664;571;558;526;512;512;461
4925;4497;4476;4361;4337;4337;1527
1144;1078;1063;1063;1039;1039;988
29485;28314;28052;28052;26667;26667;26616
1766;1689;1658;1658;1620;1620;1578
2859;2775;2750;2689;2656;2656;2604
2873;2759;2725;2634;2581;2581;2545
1129;1082;1058;1058;1043;1043;1019
605;563;548;431;416;416;365
1074;1014;999;999;969;969;899
2772;2601;2572;2572;2516;2516;2389
1080;1013;968;968;833;833;703
